movie_title,director
Déjà Vu,Tony Scott
Waking Sleeping Beauty,Don Hahn
The Count of Monte Cristo,Kevin Reynolds
The Program,David S. Ward
When in Rome,Mark Steven Johnson
Born Yesterday,George Cukor
The Alamo,John Lee Hancock
Mad Love,Antonia Bird
Armageddon,Michael Bay
Air Bud,Mike Southon
Fire Birds,David Green
The Black Cauldron,Ted Berman
Oz the Great and Powerful,Sam Raimi
Two Much,Fernando Trueba
102 Dalmatians,Kevin Lima
The Pacifier,Adam Shankman
Prom,Ryan Murphy
Un indien dans la ville,Hervé Palud
Annapolis,Justin Lin
The Country Bears,Peter Hastings
Planes: Fire and Rescue,Roberts Gannaway
Tin Men,Barry Levinson
Renaissance Man,Penny Marshall
Playing God,Scott Brignac
Phenomenon,Jon Turteltaub
Gnomeo and Juliet,John Stevenson
The Color of Money,Martin Scorsese
Blackbeard's Ghost,Robert Stevenson
Ernest Scared Stupid,John R. Cherry III
The Emperor's New Groove,Mark Dindal
Double Take,George Gallo
Rocket Man,Dexter Fletcher
Mulan,Niki Caro
Song of the South,Wilfred Jackson
The Black Hole,Gary Nelson
Raising Helen,Garry Marshall
A Gun in Betty Lou's Handbag,Allan Moyle
The Air Up There,Paul Michael Glaser
Roommates,Peter Yates
Morning Light,Mark Monroe
Valiant,Gary Chapman
Down and Out in Beverly Hills,Paul Mazursky
Tarzan,David Yates
The Royal Tenenbaums,Wes Anderson
James and the Giant Peach,Henry Selick
"Mystery, Alaska",Jay Roach
Last Dance,Bruce Beresford
My Science Project,Jonathan R. Betuel
Homeward Bound II: Lost in San Franc…,David R. Ellis
The Muppets,James Frawley
Turner & Hooch,Touchstone Pictures
Oceans,Gary Ross
It's Pat,Adam Bernstein
The Finest Hours,Craig Gillespie
Shoot to Kill,Touchstone Pictures
Hannah Montana the Movie,Peter Chelsom
First Kid,David Mickey Evans
Consenting Adults,Alan J. Pakula
Dan in Real Life,Peter Hedges
Sorority Boys,Wallace Wolodarsky
Simon Birch,Mark Steven Johnson
In the Army Now,Daniel Petrie
Bad Company,Joel Schumacher
Wreck-It Ralph,Rich Moore
Iron Man 3,Shane Black
Cinderella,Kenneth Branagh
One Magic Christmas,Phillip Borsos
Beverly Hills Chihuahua,Lev L. Spiro
WALL-E,Andrew Stanton
Aladdin,Guy Ritchie
Casanova,Lasse Hallström
Thor: The Dark World,Alan Taylor
Monkey Kingdom,Mark Linfield
Ernest Saves Christmas,John R. Cherry III
Hannah Montana/Miley Cyrus: Best of B…,
Saving Mr. Banks,John Lee Hancock
The Aristocats,Wolfgang Reitherman
Calendar Girls,Nigel Cole
Unstrung Heroes,Diane Keaton
Three Fugitives,Francis Veber
Tomorrowland,Brad Bird
The Village,M. Night Shyamalan
"Alexander and the Terrible, Horrible,…",Miguel Arteta
Arachnophobia,Frank Marshall
Lincoln,Steven Spielberg
The Horse Whisperer,Robert Redford
Muppets Most Wanted,James Bobin
Fantasia 2000 (IMAX),Eric Goldberg
Spaced Invaders,Patrick Read Johnson
Just Visiting,Jean-Marie Poiré
Holes,Andrew Davis
The Last Shot,Jeff Nathanson
The Jungle Book,Jon Favreau
Meet the Robinsons,Stephen John Anderson
Dead Poets Society,Peter Weir
Avengers: Age of Ultron,Joss Whedon
Man of the House,Stephen Herek
Bears,Keith Scholey
Passed Away,Charlie Peters
ESPN's Ultimate X - The Movie,Bruce Hendricks
Atlantis: The Lost Empire,Kirk Wise
Ernest Goes to Camp,John R. Cherry III
Teacher's Pet: The Movie,Timothy Björklund
Spy Hard,Rick Friedberg
Snow Dogs,Brian Levant
Frankenweenie,Tim Burton
Tuck Everlasting,Jay Russell
Hauru no ugoku shiro,Hayao Miyazaki
Gedo Senki (Tales from Earthsea),Goro Miyazaki
Return to Oz,Walter Murch
Disney's A Christmas Carol,Robert Zemeckis
Prefontaine,Steve James
Beaches,Garry Marshall
101 Dalmatians,Stephen Herek
The Last Song,Julie Anne Robinson
Father Hood,Paul Weitz
Encino Man,Les Mayfield
Sweet Home Alabama,Andy Tennant
Play it to the Bone,Ron Shelton
The Odd Life of Timothy Green,Peter Hedges
Honey I Blew Up the Kid,Randal Kleiser
Hercules,Brett Ratner
