movie_title,voice-actor,character,release_date,genre,MPAA_rating,revenue,director
Robin Hood,"['Roger Miller', 'Andy Devine', 'Peter Ustinov', 'Carole Shelley', 'Phil Harris', 'Monica Evans', 'Barbara Luddy', 'Ken Curtis', ""J. Pat O'Malley"", 'Peter Ustinov', 'Brian Bedford', 'Pat Buttram', 'Terry-Thomas', 'Dana Laurita', 'Billy Whittaker', 'Dori Whittaker', 'Richie Sanders', 'George Lindsey']","['Alan-a-Dale', 'Friar Tuck', 'King Richard', 'Lady Kluck', 'Little John', 'Maid Marian', 'Mother Rabbit', 'Nutsy the Vulture', 'Otto', 'Prince John', 'Robin Hood', 'Sheriff of Nottingham', 'Sir Hiss', 'Sis Bunny', 'Skippy Bunny', 'Tagalong Bunny', 'Toby Turtle', 'Trigger the Vulture']",0,0,0,0,Wolfgang Reitherman
Saludos Amigos,['José Oliveira; Rob Paulsen'],['José Carioca'],0,0,0,0,Jack Kinney
Secret of the Wings,"['Grey Delisle', 'Lucy Hale']","['Gliss', 'Periwinkle']",0,0,0,0,0
Sheep Dog,['Unknown'],['Bent-Tail Junior'],0,0,0,0,0
Silly Symphonies,"['None', 'None', 'Milt Kahl', 'Martha Wentworth', 'Pinto Colvig', 'None', 'Alyce Ardell']","['Bucky Bug', 'Elmer Elephant', 'Ferdinand the Bull', 'Jenny Wren', 'Joe Giraffe', 'Joey Hippo', 'Tillie Tiger']",0,0,0,0,0
Snow White and the Seven Dwarfs,"['Scotty Mattraw', 'Roy Atwell', 'Eddie Collins', 'Pinto Colvig', 'Otis Harlan', 'Stuart Buchanan', 'Moroni Olsen', 'Harry Stockwell', 'Lucille La Verne', 'Pinto Colvig', 'Billy Gilbert', 'Adriana Caselotti']","['Bashful', 'Doc', 'Dopey', 'Grumpy', 'Happy', 'Humbert the Huntsman', 'The Magic Mirror', 'Prince', 'Queen Grimhilde', 'Sleepy', 'Sneezy', 'Snow White']",21-Dec-37,Musical,G,"$5,228,953,251 ",David Hand
Sofia the First,"['Tim Gunn', 'Jess Harnell', 'Wayne Brady', 'Travis Willingham', 'Megan Mullally', 'Zach Callison', 'Darcy Rose Byrnes', 'Sara Ramirez', 'Ariel Winter', 'Jim Cummings']","['Baileywick', 'Cedric the Sorcerer', 'Clover', 'King Roland II', 'Miss Nettle', 'Prince James', 'Princess Amber', 'Queen Miranda', 'Princess Sofia', 'Wormwood the Raven']",0,0,0,0,0
Song of the South,"['Nick Stewart', 'James Baskett', 'Johnny Lee']","[""Br'er Bear"", ""Br'er Fox"", ""Br'er Rabbit""]",12-Nov-46,Adventure,G,"$1,078,510,579 ",0
Steamboat Willie,['Walt Disney'],['Mickey Mouse'],0,0,0,0,0
Stitch! The Movie,['Jeff Bennett'],['Dr. Jacques von Hamsterviel'],0,0,0,0,0
TaleSpin,"['Jim Cummings', 'R. J. Williams; Alan Roberts']","['Don Karnage', 'Kit Cloudkicker']",0,0,0,0,0
Tangled,"['Zachary Levi', 'Brad Garrett', 'None', 'Donna Murphy', 'Frank Welker', 'Mandy Moore', 'Ron Perlman']","['Flynn Rider', 'Hook Hand', 'Maximus', 'Mother Gothel', 'Pascal', 'Rapunzel', 'Stabbington Brothers']",24-Nov-10,Adventure,PG,"$214,388,548 ",Nathan Greno
Tangled Ever After,['Kari Wahlgren'],['Queen'],0,0,0,0,0
Tarzan,"['Nigel Hawthorne', 'Brian Blessed', 'Minnie Driver', 'Glenn Close', 'Lance Henriksen', 'Jason Marsden', 'Wayne Knight', 'Tony Goldwyn', 'Alex D. Linz', ""Rosie O'Donnell""]","['Archimedes Q. Porter', 'Clayton', 'Jane Porter', 'Kala', 'Kerchak', 'Mungo', 'Tantor', 'Tarzan', 'Tarzan', 'Terk']",16-Jun-99,Adventure,G,"$283,900,254 ",Chris Buck
The Adventures of Ichabod and Mr. Toad,"['Campbell Grant', ""J. Pat O'Malley"", 'None', 'Pinto Colvig', 'Eric Blore', 'None', 'Colin Campbell', 'Claud Allister', 'Oliver Wallace']","['Angus MacBadger', 'Cyril Proudbottom', 'Headless Horseman', 'Ichabod Crane', 'J. Thaddeus Toad', 'Katrina Van Tassel', 'Moley', 'Ratty', 'Winkie the Barman']",0,0,0,0,Jack Kinney
