movie_title,director,release_date,genre,MPAA_rating,revenue,character,voice-actor
What About Bob?,,17-May-91,Comedy,PG,"$127,571,325 ",,
Condorman,,7-Aug-81,Action,,$0 ,,
The Haunted Mansion,,26-Nov-03,Comedy,PG,"$105,775,678 ",,
The Hitchhiker's Guide to the Galaxy,,29-Apr-05,Comedy,PG,"$67,096,891 ",,
Bedknobs and Broomsticks,,7-Oct-71,Musical,,"$91,305,448 ",Bear,Dal McKennon
Bedknobs and Broomsticks,,7-Oct-71,Musical,,"$91,305,448 ",Codfish,Robert Holt
Bedknobs and Broomsticks,,7-Oct-71,Musical,,"$91,305,448 ",King Leonidas,Lennie Weinrib
Bedknobs and Broomsticks,,7-Oct-71,Musical,,"$91,305,448 ",Secretary Bird,Lennie Weinrib
Pooh's Heffalump Movie,,11-Feb-05,Adventure,G,"$23,801,835 ",Lumpy the Heffalump,Kyle Stanger
Open Range,,15-Aug-03,Western,R,"$81,547,672 ",,
D.O.A.,,18-Mar-88,Thriller/Suspense,,"$26,062,188 ",,
Meet the Deedles,,27-Mar-98,Comedy,PG,"$7,829,877 ",,
A Beautiful Planet,,29-Apr-16,Documentary,G,"$7,895,708 ",,
Sister Act,,29-May-92,Comedy,PG,"$283,583,472 ",,
Strange Magic,,23-Jan-15,Adventure,PG,"$12,429,583 ",,
Quiz Show,,14-Sep-94,Drama,PG-13,"$50,840,394 ",,
While You Were Sleeping,,21-Apr-95,Romantic Comedy,PG,"$157,082,900 ",,
Bedtime Stories,,25-Dec-08,Comedy,PG,"$128,039,679 ",,
"The Chronicles of Narnia: The Lion, t…",,9-Dec-05,Adventure,PG,"$381,557,539 ",,
Instinct,,4-Jun-99,Drama,R,"$56,595,842 ",,
Step Up,,11-Aug-06,Drama,PG-13,"$84,078,780 ",,
G.I. Jane,,22-Aug-97,Drama,R,"$88,467,531 ",,
Oscar,,26-Apr-91,Comedy,PG,"$47,181,395 ",,
The Parent Trap,,29-Jul-98,Comedy,PG,"$119,185,667 ",,
Primeval,,12-Jan-07,Adventure,R,"$12,985,302 ",,
The Lone Ranger,,2-Jul-13,Western,PG-13,"$92,597,388 ",,
"Monsters, Inc.",,2-Nov-01,Adventure,G,"$416,073,179 ",,
Reign of Fire,,19-Feb-02,Action,PG-13,"$62,480,631 ",,
Running Brave,,4-Nov-83,Drama,,"$3,223,725 ",,
Rushmore,,11-Dec-98,Black Comedy,R,"$28,392,518 ",,
Freaky Friday,,21-Jan-77,Comedy,,"$98,067,733 ",,
The 13th Warrior,,27-Aug-99,Action,R,"$54,262,148 ",,
Brave,,22-Jun-12,Adventure,PG,"$251,292,441 ",,
Eight Below,,17-Feb-06,Adventure,PG,"$105,037,235 ",,
Gake no ue no Ponyo,,14-Aug-09,Adventure,G,"$16,961,607 ",,
Queen of Katwe,,23-Sep-16,Drama,PG,"$8,874,389 ",,
Straight Talk,,3-Apr-92,Comedy,PG,"$43,068,356 ",,
Holy Man,,9-Oct-98,Comedy,PG,"$21,694,605 ",,
The Sorcerer's Apprentice,,14-Jul-10,Adventure,PG,"$67,473,105 ",,
Stella,,2-Feb-90,Drama,PG-13,"$40,077,147 ",,
An American Werewolf in Paris,,25-Dec-97,Horror,R,"$48,546,161 ",,
The Mighty Ducks,,2-Oct-92,Comedy,PG,"$103,120,810 ",,
Tall Tale,,24-Mar-95,Western,PG,"$15,983,331 ",,
Ed Wood,,30-Sep-94,Comedy,R,"$12,042,634 ",,
The Jerky Boys,,3-Feb-95,Comedy,R,"$14,641,561 ",,
The Rich Man's Wife,,13-Sep-96,Thriller/Suspense,R,"$16,284,619 ",,
"20,000 Leagues Under the Sea",,23-Dec-54,Adventure,,"$528,279,994 ",,
Super Mario Bros.,,28-May-93,Action,PG,"$42,445,058 ",,
The Proposal,,19-Jun-09,Romantic Comedy,PG-13,"$184,288,829 ",,
Race to Witch Mountain,,13-Mar-09,Adventure,PG,"$75,501,997 ",,
The Adventures of Huck Finn,,2-Apr-93,Adventure,PG,"$49,080,505 ",,
Jefferson in Paris,,31-Mar-95,Drama,PG-13,"$4,770,461 ",,
The Jungle Book,,15-Apr-16,Adventure,PG,"$364,001,123 ",,
The Jungle Book,,18-Oct-67,Musical,Not Rated,"$789,612,346 ",,
Sky High,,29-Jul-05,Adventure,PG,"$84,088,854 ",,
Toy Story 2,,19-Nov-99,Adventure,G,"$404,450,426 ",,
Remember the Titans,,29-Sep-00,Drama,PG,"$180,742,479 ",,
A Lot Like Love,,22-Apr-05,Comedy,PG-13,"$28,716,947 ",,
3 Ninjas,,7-Aug-92,Action,PG,"$58,965,304 ",,
Flight of the Navigator,,30-Jul-86,Adventure,,"$42,183,197 ",,
America's Heart and Soul,,2-Jul-04,Documentary,Not Rated,"$426,246 ",,
Swing Vote,,1-Aug-08,Comedy,PG-13,"$19,125,841 ",,
The Straight Story,,15-Oct-99,Drama,G,"$10,111,144 ",,
The Kid,,7-Jul-00,Comedy,PG,"$108,993,148 ",,
Enchanted,,21-Nov-07,Romantic Comedy,PG,"$156,074,310 ",Giselle,Amy Adams
Enchanted,,21-Nov-07,Romantic Comedy,PG,"$156,074,310 ",Nancy Tremaine,Idina Menzel
Enchanted,,21-Nov-07,Romantic Comedy,PG,"$156,074,310 ",Nathaniel,Timothy Spall
Enchanted,,21-Nov-07,Romantic Comedy,PG,"$156,074,310 ",Pip,Jeff Bennett; Kevin Lima
Enchanted,,21-Nov-07,Romantic Comedy,PG,"$156,074,310 ",Prince Edward,James Marsden
Enchanted,,21-Nov-07,Romantic Comedy,PG,"$156,074,310 ",Queen Narissa,Susan Sarandon
I'll Be Home For Christmas,,13-Nov-98,Comedy,PG,"$21,941,840 ",,
The War at Home,,20-Nov-96,,R,"$65,543 ",,
Peter Pan: Return to Neverland,,15-Feb-02,Adventure,G,"$70,269,715 ",,
Ratatouille,,29-Jun-07,Comedy,G,"$252,955,933 ",,
Secretariat,,8-Oct-10,Drama,PG,"$63,781,920 ",,
Medicine Man,,7-Feb-92,Drama,PG-13,"$91,304,495 ",,
A Thousand Acres,,19-Sep-97,Drama,R,"$14,561,324 ",,
Mission to Mars,,10-Mar-00,Adventure,PG,"$95,208,344 ",,
Toy Story 3,,18-Jun-10,Adventure,G,"$443,408,255 ",,
Miracle,,6-Feb-04,Drama,PG,"$87,392,478 ",,
My Favorite Martian,,12-Feb-99,Comedy,PG,"$61,150,849 ",,
Benji the Hunted,,5-Jun-87,Adventure,,"$32,798,382 ",,
A Far Off Place,,12-Mar-93,Adventure,PG,"$26,248,558 ",,
Old Dogs,,25-Nov-09,Comedy,PG,"$55,503,929 ",,
Stick It,,28-Apr-06,Comedy,PG-13,"$34,634,731 ",,
Funny Bones,,31-Mar-95,Comedy,R,"$1,025,425 ",,
Cars,,9-Jun-06,Comedy,G,"$314,140,384 ",,
Bicentennial Man,,17-Dec-99,Drama,PG,"$94,838,225 ",,
Chimpanzee,,20-Apr-12,Documentary,G,"$30,675,725 ",,
The Apple Dumpling Gang,,1-Jul-75,Comedy,,"$131,246,872 ",,
The Other Sister,,26-Feb-99,Romantic Comedy,PG-13,"$46,145,331 ",,
A Simple Twist of Fate,,2-Sep-94,Drama,PG-13,"$7,035,189 ",,
Where the Heart Is,,23-Feb-90,Comedy,,"$2,210,321 ",,
Kaze Tachinu,,8-Nov-13,Drama,PG-13,"$5,367,415 ",,
Off Beat,,11-Apr-86,Comedy,,"$11,003,932 ",,
The Greatest Game Ever Played,,30-Sep-05,Drama,PG,"$20,162,672 ",,
The Three Musketeers,,12-Nov-93,Adventure,PG,"$109,310,377 ",,
A Civil Action,,25-Dec-98,Drama,PG-13,"$94,139,530 ",,
Walt and El Grupo,,10-Sep-09,Documentary,PG,"$23,064 ",,
Powder,,27-Oct-95,Drama,PG-13,"$59,727,216 ",,
1492: Conquest of Paradise,,9-Oct-92,Adventure,PG-13,"$14,421,454 ",,
The Cemetery Club,,3-Feb-93,Comedy,PG-13,"$11,369,541 ",,
Stay Alive,,24-Mar-06,Horror,PG-13,"$29,712,825 ",,
That Darn Cat,,14-Feb-97,Comedy,PG,"$33,613,158 ",,
The Muppet Christmas Carol,,11-Dec-92,Comedy,G,"$55,417,615 ",,
Step Up 2 the Streets,,14-Feb-08,Drama,PG-13,"$68,118,371 ",,
Fantasia 2000 (Theatrical Release),,16-Jun-00,Musical,G,"$14,238,144 ",,
The Santa Clause 2,,1-Nov-02,Comedy,G,"$201,959,095 ",,
The Recruit,,31-Jan-03,Thriller/Suspense,PG-13,"$73,793,522 ",,
Money for Nothing,,10-Sep-93,Comedy,R,"$2,127,496 ",,
Bad Company,,20-Jan-95,Thriller/Suspense,R,"$6,829,092 ",,
Bad Company,,7-Jun-02,Action,PG-13,"$43,756,218 ",,
I Love Trouble,,29-Jun-94,Romantic Comedy,PG,"$63,651,027 ",,
The Absent Minded Professor,,16-Mar-61,Comedy,,"$310,094,574 ",,
Jungle 2 Jungle,,7-Mar-97,Comedy,PG,"$110,058,379 ",,
Tex,,19-Nov-82,Drama,,"$20,643,199 ",,
Life With Mikey,,4-Jun-93,Comedy,PG,"$25,146,538 ",,
Gone Fishin',,30-May-97,Comedy,PG,"$36,265,379 ",,
Rogue One: A Star Wars Story,,16-Dec-16,Adventure,PG-13,"$529,483,936 ",,
The Marrying Man,,5-Apr-91,Romantic Comedy,R,"$24,939,118 ",,
Bubble Boy,,24-Aug-01,Comedy,PG-13,"$7,450,434 ",,
Baby: Secret of the Lost Legend,,22-Mar-85,Adventure,,"$33,900,697 ",,
High Heels and Low Lifes,,26-Oct-01,,R,"$337,782 ",,
The Tie That Binds,,8-Sep-95,Thriller/Suspense,R,"$11,167,895 ",,
John Carter,,9-Mar-12,Adventure,PG-13,"$77,372,445 ",,
Blank Check,,11-Feb-94,Comedy,PG,"$63,170,804 ",,
Guardians of the Galaxy,,1-Aug-14,Adventure,PG-13,"$343,771,168 ",,
Star Wars Ep. VII: The Force Awakens,,18-Dec-15,Adventure,PG-13,"$936,662,225 ",,
A Goofy Movie,,7-Apr-95,Comedy,G,"$68,479,579 ",Powerline,Tevin Campbell
A Goofy Movie,,7-Apr-95,Comedy,G,"$68,479,579 ",Principal Mazur,Wallace Shawn
A Goofy Movie,,7-Apr-95,Comedy,G,"$68,479,579 ","Robert ""Bobby"" Zimmeruski",Pauly Shore
A Goofy Movie,,7-Apr-95,Comedy,G,"$68,479,579 ",Roxanne,Kellie Martin
Hocus Pocus,,16-Jul-93,Comedy,PG,"$80,147,079 ",,
Pete’s Dragon,,12-Aug-16,Adventure,PG,"$76,233,151 ",,
Night Crossing,,5-Feb-82,Drama,,"$12,903,059 ",,
Metro,,17-Jan-97,Action,R,"$58,804,106 ",,
National Treasure,,19-Nov-04,Adventure,PG,"$234,069,353 ",,
Shanghai Noon,,26-May-00,Western,PG-13,"$89,042,541 ",,
Dangerous Minds,,11-Aug-95,Drama,R,"$164,552,293 ",,
The Distinguished Gentleman,,4-Dec-92,Comedy,R,"$94,349,900 ",,
The Secret World of Arietty,,17-Feb-12,Adventure,G,"$20,325,733 ",,
The Princess Diaries,,3-Aug-01,Comedy,G,"$161,218,928 ",,
Step Up 3D,,6-Aug-10,Drama,PG-13,"$45,302,137 ",,
Underdog,,3-Aug-07,Adventure,PG,"$53,619,462 ",,
Red Rock West,,28-Jan-94,,R,"$5,170,709 ",,
Captain America: Civil War,,6-May-16,Action,PG-13,"$408,084,349 ",,
Mr. Wrong,,16-Feb-96,Romantic Comedy,PG-13,"$24,422,334 ",,
Nixon,,20-Dec-95,Drama,R,"$26,302,005 ",,
The Ref,,9-Mar-94,Comedy,R,"$23,401,275 ",,
The Santa Clause 3: The Escape Clause,,3-Nov-06,Comedy,G,"$108,694,869 ",,
Ice Princess,,18-Mar-05,Comedy,G,"$32,064,685 ",,
King Arthur,,7-Jul-04,Adventure,PG-13,"$70,423,706 ",,
Nothing To Lose,,18-Jul-97,Comedy,R,"$81,692,095 ",,
Herbie: Fully Loaded,,22-Jun-05,Comedy,G,"$86,812,798 ",,
Father of the Bride,,20-Dec-91,Comedy,PG,"$179,821,881 ",,
You Again,,24-Sep-10,Comedy,PG,"$27,461,121 ",,
Pirates of the Caribbean: On Stranger…,,20-May-11,Adventure,PG-13,"$256,263,359 ",,
Zokkomon,,22-Apr-11,Adventure,PG,"$2,984 ",,
Gross Anatomy,,20-Oct-89,Drama,PG-13,"$23,972,012 ",,
The Incredibles,,5-Nov-04,Adventure,PG,"$354,488,708 ",,
Frank McKlusky C.I.,,1-Jan-02,,,$0 ,,
Taking Care of Business,,17-Aug-90,Comedy,R,"$39,963,460 ",,
Tim Burton's The Nightmare Before Chr…,,20-Oct-06,Musical,PG,"$30,737,517 ",,
Cocktail,,29-Jul-88,Drama,R,"$160,442,289 ",,
Gun Shy,,4-Feb-00,Comedy,R,"$2,562,155 ",,
Mr. Destiny,,12-Oct-90,Comedy,PG-13,"$30,722,056 ",,
Herbie Goes to Monte Carlo,,24-Jun-77,,,"$105,847,527 ",,
Evita,,25-Dec-96,Musical,PG,"$92,077,628 ",,
Dark Water,,8-Jul-05,Thriller/Suspense,PG-13,"$33,500,491 ",,
Piglet's Big Movie,,21-Mar-03,Comedy,G,"$32,298,812 ",,
Kazaam,,17-Jul-96,Comedy,PG,"$36,009,655 ",,
Déjà Vu,,22-Nov-06,Thriller/Suspense,PG-13,"$82,267,038 ",,
Waking Sleeping Beauty,,26-Mar-10,Documentary,PG,"$86,264 ",,
The Count of Monte Cristo,,25-Jan-02,Drama,PG-13,"$78,682,079 ",,
The Program,,24-Sep-93,Action,R,"$46,919,256 ",,
When in Rome,,29-Jan-10,Romantic Comedy,PG-13,"$34,917,330 ",,
Born Yesterday,,26-Mar-93,Romantic Comedy,PG,"$36,165,012 ",,
The Alamo,,9-Apr-04,Western,PG-13,"$30,416,359 ",,
Mad Love,,26-May-95,Drama,PG-13,"$29,934,306 ",,
Armageddon,,1-Jul-98,Adventure,PG-13,"$362,324,957 ",,
Air Bud,,1-Aug-97,Comedy,PG,"$45,266,588 ",,
Fire Birds,,24-May-90,Action,PG-13,"$29,485,923 ",,
Oz the Great and Powerful,,8-Mar-13,Adventure,PG,"$243,434,130 ",,
Two Much,,15-Mar-96,Romantic Comedy,PG-13,"$2,057,055 ",,
102 Dalmatians,,22-Nov-00,Comedy,G,"$104,055,039 ",,
The Pacifier,,4-Mar-05,Comedy,PG,"$148,619,029 ",,
Prom,,29-Apr-11,Comedy,PG,"$10,768,946 ",,
Un indien dans la ville,,22-Mar-96,Comedy,PG,"$1,963,937 ",,
Annapolis,,27-Jan-06,Drama,PG-13,"$22,044,113 ",,
The Country Bears,,26-Jul-02,Adventure,G,"$24,650,121 ",Beary Barrington,Haley Joel Osment
The Country Bears,,26-Jul-02,Adventure,G,"$24,650,121 ",Big Al,James Gammon
The Country Bears,,26-Jul-02,Adventure,G,"$24,650,121 ",Dex Barrington,Justin Berfield
The Country Bears,,26-Jul-02,Adventure,G,"$24,650,121 ",Ted Betterhead,Diedrich Bader
Planes: Fire and Rescue,,18-Jul-14,Adventure,PG,"$61,040,349 ",,
Tin Men,,6-Mar-87,Comedy,,"$54,787,202 ",,
Renaissance Man,,3-Jun-94,Comedy,PG-13,"$49,945,474 ",,
Playing God,,17-Oct-97,Thriller/Suspense,R,"$7,652,965 ",,
Phenomenon,,5-Jul-96,Drama,PG,"$199,559,799 ",,
Gnomeo and Juliet,,11-Feb-11,Comedy,G,"$106,270,797 ",,
The Color of Money,,17-Oct-86,Drama,R,"$117,957,323 ",,
Blackbeard's Ghost,,8-Feb-68,Comedy,,"$138,612,686 ",,
Ernest Scared Stupid,,11-Oct-91,Comedy,PG,"$28,320,147 ",,
Double Take,,12-Jan-01,Action,PG-13,"$44,418,589 ",,
Rocket Man,,10-Oct-97,Comedy,PG,"$28,371,890 ",,
Song of the South,,12-Nov-46,Adventure,G,"$1,078,510,579 ",Br'er Bear,Nick Stewart
Song of the South,,12-Nov-46,Adventure,G,"$1,078,510,579 ",Br'er Fox,James Baskett
Song of the South,,12-Nov-46,Adventure,G,"$1,078,510,579 ",Br'er Rabbit,Johnny Lee
The Black Hole,,21-Dec-79,,,"$120,377,374 ",,
Raising Helen,,28-May-04,Comedy,PG-13,"$50,886,144 ",,
A Gun in Betty Lou's Handbag,,21-Aug-92,,PG-13,"$7,295,423 ",,
The Air Up There,,7-Jan-94,Comedy,PG,"$42,940,186 ",,
Roommates,,3-Mar-95,Comedy,PG,"$23,404,369 ",,
Morning Light,,17-Oct-08,Documentary,PG,"$322,979 ",,
Valiant,,19-Aug-05,Adventure,G,"$25,616,292 ",,
Down and Out in Beverly Hills,,31-Jan-86,Comedy,R,"$141,183,693 ",,
The Royal Tenenbaums,,14-Dec-01,Black Comedy,R,"$76,758,193 ",,
James and the Giant Peach,,12-Apr-96,Adventure,PG,"$55,159,783 ",,
"Mystery, Alaska",,1-Oct-99,Comedy,R,"$14,755,189 ",,
Last Dance,,3-May-96,Drama,R,"$11,171,714 ",,
My Science Project,,9-Aug-85,Comedy,,"$9,736,051 ",,
Homeward Bound II: Lost in San Franc…,,8-Mar-96,Adventure,G,"$62,384,706 ",,
The Muppets,,23-Nov-11,Comedy,PG,"$94,189,503 ",,
Turner & Hooch,,28-Jul-89,Comedy,PG,"$150,176,361 ",,
Oceans,,22-Apr-10,Documentary,G,"$20,751,600 ",,
It's Pat,,26-Aug-94,Comedy,,"$125,666 ",,
The Finest Hours,,29-Jan-16,Thriller/Suspense,PG,"$27,569,558 ",,
Shoot to Kill,,12-Feb-88,Action,,"$60,097,074 ",,
Hannah Montana the Movie,,10-Apr-09,Drama,G,"$89,443,640 ",,
First Kid,,30-Aug-96,Comedy,PG,"$50,465,108 ",,
Consenting Adults,,16-Oct-92,Drama,R,"$43,859,823 ",,
Dan in Real Life,,20-Oct-07,Romantic Comedy,PG-13,"$58,350,234 ",,
Sorority Boys,,22-Mar-02,Comedy,R,"$14,797,862 ",,
Simon Birch,,11-Sep-98,Drama,PG,"$32,809,442 ",,
In the Army Now,,12-Aug-94,Comedy,PG,"$59,673,787 ",,
Iron Man 3,,3-May-13,Action,PG-13,"$424,084,233 ",,
One Magic Christmas,,22-Nov-85,Drama,,"$31,415,432 ",,
Beverly Hills Chihuahua,,3-Oct-08,Comedy,PG,"$110,932,022 ",,
WALL-E,,27-Jun-08,Adventure,G,"$262,771,918 ",,
Casanova,,25-Dec-05,Drama,R,"$14,574,087 ",,
Thor: The Dark World,,8-Nov-13,Adventure,PG-13,"$213,962,184 ",,
Monkey Kingdom,,17-Apr-15,Documentary,G,"$16,432,322 ",,
Ernest Saves Christmas,,11-Nov-88,Comedy,PG,"$57,845,202 ",,
Hannah Montana/Miley Cyrus: Best of B…,,1-Feb-08,Concert/Performance,G,"$76,646,993 ",,
Saving Mr. Banks,,13-Dec-13,Drama,PG-13,"$86,249,969 ",,
Calendar Girls,,19-Dec-03,Comedy,PG-13,"$42,379,650 ",,
Unstrung Heroes,,15-Sep-95,Drama,PG,"$15,365,850 ",,
Three Fugitives,,27-Jan-89,Comedy,PG-13,"$85,757,817 ",,
Tomorrowland,,22-May-15,Adventure,PG,"$93,436,322 ",,
The Village,,30-Jul-04,Thriller/Suspense,PG-13,"$155,021,748 ",,
"Alexander and the Terrible, Horrible,…",,10-Oct-14,Comedy,PG,"$69,055,550 ",,
Arachnophobia,,18-Jul-90,Thriller/Suspense,PG-13,"$106,290,270 ",,
Lincoln,,9-Nov-12,Drama,PG-13,"$192,122,330 ",,
The Horse Whisperer,,15-May-98,Drama,PG-13,"$135,497,531 ",,
Muppets Most Wanted,,21-Mar-14,Comedy,PG,"$52,807,594 ",,
Fantasia 2000 (IMAX),,1-Jan-00,Musical,G,"$94,852,354 ",,
Spaced Invaders,,27-Apr-90,Comedy,PG,"$29,964,452 ",,
Just Visiting,,6-Apr-01,Comedy,PG-13,"$7,114,869 ",,
Holes,,18-Apr-03,Drama,PG,"$94,203,395 ",,
The Last Shot,,24-Sep-04,Comedy,R,"$629,502 ",,
Dead Poets Society,,2-Jun-89,Drama,PG,"$202,531,517 ",,
Avengers: Age of Ultron,,1-May-15,Action,PG-13,"$459,005,868 ",,
Man of the House,,3-Mar-95,Comedy,PG,"$77,573,459 ",,
Bears,,18-Apr-14,Documentary,G,"$18,346,024 ",,
Passed Away,,24-Apr-92,,PG-13,"$8,187,848 ",,
ESPN's Ultimate X - The Movie,,10-May-02,Documentary,PG,"$6,089,874 ",,
Ernest Goes to Camp,,22-May-87,Comedy,,"$50,686,462 ",,
Teacher's Pet: The Movie,,16-Jan-04,Comedy,PG,"$8,812,764 ",,
Spy Hard,,24-May-96,Comedy,PG-13,"$51,373,912 ",,
Snow Dogs,,18-Jan-02,Comedy,PG,"$117,745,317 ",,
Frankenweenie,,5-Oct-12,Comedy,PG,"$37,363,513 ",,
Tuck Everlasting,,11-Oct-02,Drama,PG,"$27,789,959 ",,
Hauru no ugoku shiro,,10-Jun-05,Adventure,PG,"$6,194,870 ",,
Gedo Senki (Tales from Earthsea),,13-Aug-10,Adventure,PG-13,"$51,988 ",,
Return to Oz,,21-Jun-85,Adventure,,"$25,215,934 ",,
Disney's A Christmas Carol,,6-Nov-09,Drama,PG,"$154,927,105 ",,
Prefontaine,,24-Jan-97,Drama,PG-13,"$1,085,093 ",,
Beaches,,21-Dec-88,Drama,PG-13,"$120,381,757 ",,
101 Dalmatians,,25-Jan-61,Comedy,G,"$1,362,870,985 ",,
The Last Song,,31-Mar-10,Drama,PG,"$67,258,772 ",,
Father Hood,,27-Aug-93,,PG-13,"$6,654,819 ",,
Encino Man,,22-May-92,Comedy,PG,"$81,369,058 ",,
Sweet Home Alabama,,27-Sep-02,Comedy,PG-13,"$184,521,151 ",,
Play it to the Bone,,24-Dec-99,Comedy,R,"$13,180,524 ",,
The Odd Life of Timothy Green,,15-Aug-12,Drama,PG,"$54,914,942 ",,
Honey I Blew Up the Kid,,17-Jul-92,Comedy,PG,"$119,162,518 ",,
The Return of Jafar,,,,,,Abis Mal,Jason Alexander
Donald Duck and the Gorilla,,,,,,Ajax the Gorilla,None
Brother Bear 2,,,,,,Anda,Andrea Martin
Brother Bear 2,,,,,,Atka,Jeff Bennett
Brother Bear 2,,,,,,Aunt Siqiniq,Wendie Malick
Brother Bear 2,,,,,,Aunt Taqqiq,Kathy Najimy
Brother Bear 2,,,,,,Hoonah,Tress MacNeille
Brother Bear 2,,,,,,Innoko,Wanda Sykes
Brother Bear 2,,,,,,Kata,Catherine O'Hara
Brother Bear 2,,,,,,Nita,Mandy Moore
Lady and the Tramp II: Scamp's Adventure,,,,,,Angel,Alyssa Milano
Lady and the Tramp II: Scamp's Adventure,,,,,,Annette,Debi Derryberry
Lady and the Tramp II: Scamp's Adventure,,,,,,Buster,Chazz Palminteri
Lady and the Tramp II: Scamp's Adventure,,,,,,Colette,Kath Soucie
Lady and the Tramp II: Scamp's Adventure,,,,,,Danielle,Kath Soucie
Lady and the Tramp II: Scamp's Adventure,,,,,,The Dog Catcher,Jeff Bennett
Lady and the Tramp II: Scamp's Adventure,,,,,,Francois,Bronson Pinchot
Lady and the Tramp II: Scamp's Adventure,,,,,,Mooch,Bill Fagerbakke
Lady and the Tramp II: Scamp's Adventure,,,,,,Ruby,Cathy Moriarty
Lady and the Tramp II: Scamp's Adventure,,,,,,Scamp,Scott Wolf
Lady and the Tramp II: Scamp's Adventure,,,,,,Scratchy,None
Lady and the Tramp II: Scamp's Adventure,,,,,,Sparky,Mickey Rooney
Beauty and the Beast: The Enchanted Christmas,,,,,,Angelique,Bernadette Peters
Beauty and the Beast: The Enchanted Christmas,,,,,,Axe,Jeff Bennett
Beauty and the Beast: The Enchanted Christmas,,,,,,The Enchantress,Kath Soucie
Beauty and the Beast: The Enchanted Christmas,,,,,,Fife the Piccolo,Paul Reubens
Beauty and the Beast: The Enchanted Christmas,,,,,,Forte the Pipe Organ,Tim Curry
House of Mouse,,,,,,April,None
House of Mouse,,,,,,June,None
House of Mouse,,,,,,May,None
House of Mouse,,,,,,Mike the Microphone,Rod Roddy
Jungle Cubs,,,,,,Arthur,David Lander
Jungle Cubs,,,,,,Cecil the Vulture,Michael McKean
Jungle Cubs,,,,,,Mahra the Baboon,Tress MacNeille
Jungle Cubs,,,,,,Ned the Baboon,Charlie Adler
DuckTales,,,,,,Babyface Beagle,Terry McGovern
DuckTales,,,,,,Backwoods Beagle,Danny Mann
DuckTales,,,,,,Bacon Beagle,None
DuckTales,,,,,,Baggy Beagle,Frank Welker
DuckTales,,,,,,Bankjob Beagle,Peter Cullen
DuckTales,,,,,,Bentina Beakley,Joan Gerber
DuckTales,,,,,,Bigtime Beagle,Frank Welker
DuckTales,,,,,,Binky Beagle,None
DuckTales,,,,,,Bomber Beagle,Robert Ridgely
DuckTales,,,,,,Bouncer Beagle,Chuck McCann
DuckTales,,,,,,Bugle Beagle,Brian Cummings
DuckTales,,,,,,Burger Beagle,Chuck McCann
DuckTales,,,,,,Dijon the Thief,Richard Libertini
DuckTales,,,,,,Doofus Drake,Brian Cummings
DuckTales,,,,,,Duckworth,Chuck McCann
DuckTales,,,,,,El Capitan,Jim Cummings
DuckTales,,,,,,Fenton Crackshell (Gizmoduck),Hamilton Camp
DuckTales,,,,,,Flintheart Glomgold,Hal Smith
DuckTales,,,,,,Gladstone Gander,Rob Paulsen
DuckTales,,,,,,Glittering Goldie,Joan Gerber
DuckTales,,,,,,Gyro Gearloose,Hal Smith
DuckTales,,,,,,Launchpad McQuack,Terry McGovern
DuckTales,,,,,,Ma Beagle,June Foray
DuckTales,,,,,,Magica De Spell,June Foray
DuckTales,,,,,,Megabyte Beagle,Frank Welker
DuckTales,,,,,,Merlock the Magician,Christopher Lloyd
DuckTales,,,,,,Mrs. Featherby,June Foray
DuckTales,,,,,,The Phantom Blot,Frank Welker; John O'Hurley
DuckTales,,,,,,Poe De Spell,Terry McGovern; Frank Welker
DuckTales,,,,,,Scrooge McDuck,Alan Young
DuckTales,,,,,,Webby Vanderquack,Russi Taylor
Mickey Mouse Clubhouse,,,,,,Baby Red Bird,Tress MacNeille
Mickey Mouse Clubhouse,,,,,,Bella,Frank Welker
Mickey Mouse Clubhouse,,,,,,Mr. Pettibone,Jeff Pidgeon
Who Framed Roger Rabbit,,,,,,Baby Herman,April Winchell
Who Framed Roger Rabbit,,,,,,Baby Herman,Lou Hirsch
Who Framed Roger Rabbit,,,,,,Benny the Cab,Charles Fleischer
Who Framed Roger Rabbit,,,,,,Greasy the Weasel,Charles Fleischer
Who Framed Roger Rabbit,,,,,,Jessica Rabbit,Kathleen Turner
Who Framed Roger Rabbit,,,,,,Judge Doom,Christopher Lloyd
Who Framed Roger Rabbit,,,,,,Psycho the Weasel,Charles Fleischer
Who Framed Roger Rabbit,,,,,,Roger Rabbit,Charles Fleischer
Who Framed Roger Rabbit,,,,,,Smarty the Weasel,David Lander
Who Framed Roger Rabbit,,,,,,Stupid the Weasel,Fred Newman
Who Framed Roger Rabbit,,,,,,Wheezy the Weasel,June Foray
Sofia the First,,,,,,Baileywick,Tim Gunn
Sofia the First,,,,,,Cedric the Sorcerer,Jess Harnell
Sofia the First,,,,,,Clover,Wayne Brady
Sofia the First,,,,,,King Roland II,Travis Willingham
Sofia the First,,,,,,Miss Nettle,Megan Mullally
Sofia the First,,,,,,Prince James,Zach Callison
Sofia the First,,,,,,Princess Amber,Darcy Rose Byrnes
Sofia the First,,,,,,Queen Miranda,Sara Ramirez
Sofia the First,,,,,,Princess Sofia,Ariel Winter
Sofia the First,,,,,,Wormwood the Raven,Jim Cummings
Cinderella II: Dreams Come True,,,,,,Baker,Rob Paulsen
Cinderella II: Dreams Come True,,,,,,Pom-Pom,Frank Welker
Cinderella II: Dreams Come True,,,,,,Prudence,Holland Taylor
