movie_title,character
Snow White and the Seven Dwarfs,"['Bashful', 'Doc', 'Dopey', 'Grumpy', 'Happy', 'Humbert the Huntsman', 'The Magic Mirror', 'Prince', 'Queen Grimhilde', 'Sleepy', 'Sneezy', 'Snow White']"
Sofia the First,"['Baileywick', 'Cedric the Sorcerer', 'Clover', 'King Roland II', 'Miss Nettle', 'Prince James', 'Princess Amber', 'Queen Miranda', 'Princess Sofia', 'Wormwood the Raven']"
Song of the South,"[""Br'er Bear"", ""Br'er Fox"", ""Br'er Rabbit""]"
Steamboat Willie,['Mickey Mouse']
Stitch! The Movie,['Dr. Jacques von Hamsterviel']
TaleSpin,"['Don Karnage', 'Kit Cloudkicker']"
Tangled,"['Flynn Rider', 'Hook Hand', 'Maximus', 'Mother Gothel', 'Pascal', 'Rapunzel', 'Stabbington Brothers']"
Tangled Ever After,['Queen']
Tarzan,"['Archimedes Q. Porter', 'Clayton', 'Jane Porter', 'Kala', 'Kerchak', 'Mungo', 'Tantor', 'Tarzan', 'Tarzan', 'Terk']"
The Adventures of Ichabod and Mr. Toad,"['Angus MacBadger', 'Cyril Proudbottom', 'Headless Horseman', 'Ichabod Crane', 'J. Thaddeus Toad', 'Katrina Van Tassel', 'Moley', 'Ratty', 'Winkie the Barman']"
The Aristocats,"['Abigail Gabble', 'Amelia Gabble', 'Berlioz', 'Billy Boss', 'Duchess', 'Edgar Balthazar the Butler', 'Frou-Frou', 'Georges Hautecourt', 'Hit Cat the English Cat', 'Lafayette the Basset Hound', 'Madame Adelaide Bonfamille', 'Marie', 'Napoleon the Bloodhound', 'Peppo the Italian Cat', 'Roquefort the Mouse', 'Scat Cat', 'Shun Gon the Chinese Cat', ""Thomas O'Malley"", 'Toulouse', 'Uncle Waldo']"
The Black Cauldron,"['Creeper', 'Dallben', 'Doli', 'Fflewddur Fflam', 'Gurgi', 'Hen Wen', 'The Horned King', 'King Eiddileg', 'Orddu', 'Orgoch', 'Orwen', 'Princess Eilonwy', 'Taran']"
The Chain Gang,['Pluto']
The Country Bears,"['Beary Barrington', 'Big Al', 'Dex Barrington', 'Ted Betterhead']"
The Emperor's New Groove,"['Bucky the Squirrel', 'Chaca', 'Chicha', 'Kronk Pepikrankenitz', 'Kuzco', 'Pacha', 'Tipo', 'Yzma']"
The Emperor's New School,['Malina']
The Fox and the Hound,"['Amos Slade', 'Big Mama', 'Boomer', 'Chief', 'Copper', 'Dinky', 'Squeaks the Caterpillar', 'Tod', 'Vixey', 'Widow Tweed']"
The Fox and the Hound 2,"['Cash', 'Dixie', 'Granny Rose', 'Lyle']"
The Great Mouse Detective,"['Bartholomew', 'Basil of Baker Street', 'Dr. David Q. Dawson', 'Felicia the Cat', 'Fidget', 'Hiram Flaversham', 'Lady Mouse', 'Miss Kitty', 'Mrs. Judson', 'Olivia Flaversham', 'Professor Ratigan', 'Queen Mousetoria', 'Toby the Dog']"
The Hunchback of Notre Dame,"['Achilles', 'The Archdeacon', 'Captain Phoebus', 'Clopin Trouillefou', 'Djali', 'Esmeralda', 'Hugo', 'Judge Claude Frollo', 'Laverne', 'Quasimodo', 'Victor']"
The Hunchback of Notre Dame II,"['Lady DeBurne', 'Madellaine', 'Sarousch', 'Zephyr']"
The Legend of Coyote Rock,['Bent-Tail the Coyote']
The Lion King 1½,"[""Timon's Mother"", 'Uncle Max']"
The Lion King II: Simba's Pride,"['Kiara', 'Kovu', 'Nuka', 'Vitani', 'Zira']"
The Little Mermaid,"['Adella', 'Alana', 'Andrina', 'Aquata', 'Ariel', 'Arista', 'Attina', 'Carlotta the Maid', 'Chef Louis', 'Flotsam and Jetsam', 'Flounder', 'Grimsby', 'Harold the Seahorse', 'King Triton', 'Max the Sheepdog', 'Prince Eric', 'Scuttle', 'Sebastian', 'Ursula', 'Vanessa (The Little Mermaid)']"
The Little Mermaid II: Return to the Sea,"['Cloak and Dagger', 'Dash', 'Melody', 'Morgana', 'Tip']"
The Little Mermaid: Ariel's Beginning,['Queen Athena']
The Pirate Fairy,['Zarina']
The Plow Boy,['Horace Horsecollar']
The Porker's Court,['Lil Bad Wolf']
The Princess and the Frog,"['Buford the Cook', 'Charlotte La Bouff', 'Cousin Randy', 'Dr. Facilier', 'Eli ""Big Daddy"" La Bouff', 'Eudora', 'Evangaline', 'Harvey Fenner', 'Henry Fenner', 'Ian the Alligator', 'Lawrence the Valet', 'Louis the Alligator', 'Mama Odie', 'Marlon the Alligator', 'Prince Naveen', 'Ray the Firefly', 'Tiana', 'Two Fingers']"
The Reluctant Dragon,"['Sir Giles', 'Tobias the Reluctant Dragon']"
The Rescuers,"['Bernard', 'Brutus and Nero', 'Chair Mouse', 'Digger the Mole', 'Ellie Mae', 'Evinrude', 'Gramps', 'Luke', 'Madame Medusa', 'Miss Bianca', 'Mr. Snoops', 'Orville', 'Penny', 'Rufus']"
The Rescuers Down Under,"['Cody', 'Doctor Mouse', 'Faloo', 'Francois', 'Frank', 'Jake', 'Krebbs', 'Marahute', 'Nurse Mouse', 'Percival C. McLeach', 'Red', 'Wilbur']"
The Return of Jafar,['Abis Mal']
The Sleepwalker,['Dinah the Dachshund']
The Sword in the Stone,"['Archimedes', 'Arthur/Wart', 'Arthur/Wart', 'Arthur/Wart', 'Black Bart', 'Madam Mim', 'Merlin', 'Sir Ector', 'Sir Kay', 'Sir Pellinore']"
The Three Caballeros,"['Aracuan Bird', 'Panchito Pistoles']"
The Tortoise and the Hare,"['Max Hare', 'Toby Tortoise']"
The Weekenders,['Tino Tonitini']
The Wise Little Hen,"['Donald Duck', 'Peter Pig']"
"This is Your Life, Donald Duck",['Grandma Duck']
Three Little Pigs,"['Big Bad Wolf', 'Fiddler Pig', 'Fifer Pig', 'Practical Pig']"
